Advanced Reads Samples		
Sample number	Abs	
1	0,7242844105	
2	0,6923519969	
3	0,7283918858	
4	0,7873090506	
5	0,7812798023	
6	0,8327342868	
7	0,8524861336	
8	0,8418778181	
9	0,9220604897	
10	0,9029060602	
11	0,913008213	
12	0,9283605814	
13	0,681423068	
14	0,7350010872	
15	0,7026515007	
16	0,7206458449	
17	0,8840013742	
18	0,971570015	
19	0,7126688957	
20	0,8919593096	
21	0,8833445311	
22	0,8485820293	
23	0,9760497212	
24	1,196704984	
25	0,7951216698	
26	0,6673108339	
27	0,7184747458	
28	0,7097446322	
29	0,8361273408	
30	0,6768175364	
31	0,8058459759	
32	0,787835598	
33	1,217952371	
34	0,6904824972	
35	1,103308558	
36	0,8115344048	
37	0,6842862368	
38	0,6925053	
39	0,6844498515	
40	0,6679321527	
41	0,7163442373	
42	0,6952368021	
43	0,6772629023	
44	0,6747595668	
45	0,8798664808	
46	0,6721090674	
47	0,7409475446	
48	0,7015829086	
49	0,679042697	
50	0,6700832844	
51	0,685068965	
52	0,6809607744	
53	0,7095140219	
54	0,6667479277	
55	0,6700555086	
56	0,6674922705	
57	0,7017663121	
58	0,6674499512	
59	0,740019083	
60	0,6717574596	
61	0,6713575125	
62	0,6648767591	
63	0,6764907241	
64	0,6760264635	
65	0,6652950048	
66	0,6648458242	
67	0,6647524834	
68	0,6558836699	
69	0,6747179031	
70	0,6590354443	
71	0,6614863276	
72	0,6787563562	
73	0,6715234518	
74	0,6694909334	
75	0,7293198109	
76	0,6774999499	
77	0,6637022495	
78	0,6814570427	
79	0,6831606627	
80	0,6662847996	
81	0,6684900522	
82	0,6678556204	
83	0,6739267111	
84	0,6740188599	
85	0,7047128677	
86	0,7121930122	
87	0,6734195948	
88	0,6968051195	
89	0,6703573465	
90	0,6689741611	
91	0,6706295013	
92	0,6698003411	
93	0,7656965256	
94	0,6666885614	
95	0,6690111756	
96	0,6654945612	

Advanced Reads Samples
Advanced Reads Samples
Collection Time: 1/1/06 00:34:50
Operator Name  :
Microplate Reader Software Version: 3.20(57)
Parameter List :
Advanced Reads
Report time                       dom 01 jan 12:34:50 AM 2006
Method file                       Default
Batch file
Instrument                        Cary 50
Instrument serial number
Software Version                  3.20(57)
Driver Version                    2.2.54
Operator
Instrument Parameters
Stop Threshold                    OFF
Averaging Time (s)                0,5000
Temperature control
Device                           OFF
Set temperature (°C)
Wellplate
Plate format                     96 wells Costar
X Mode                            Wavelength (nm)
Y Mode                            Abs
Pathlength correction             None
Wavelength (nm)                  590,0
Analysis
Collection time                  1/1/06 00:30:24
Method Log     :
Method Name    : Default
Date/Time stamp: 1/1/06 00:23:53
Method Modifications:
Ave. time (s) Changed: 1/1/06 00:24:32, Old:   0,1000, New:   0,5000
WaveLength Changed: 1/1/06 00:24:32, Old:500,00, New:590,00
Num Samples Changed: 1/1/06 00:25:26, Old:0, New:1
Num Samples Changed: 1/1/06 00:30:24, Old:96, New:1
Num Samples Changed: 1/1/06 00:34:50, Old:96, New:1
End Method Modifications
Sample Readings:
SML-1;; 0,7243
SML-2;; 0,6924
SML-3;; 0,7284
SML-4;; 0,7873
SML-5;; 0,7813
SML-6;; 0,8327
SML-7;; 0,8525
SML-8;; 0,8419
SML-9;; 0,9221
SML-10;; 0,9029
SML-11;; 0,9130
SML-12;; 0,9284
SML-24;; 1,1967
SML-23;; 0,9760
SML-22;; 0,8486
SML-21;; 0,8833
SML-20;; 0,8920
SML-19;; 0,7127
SML-18;; 0,9716
SML-17;; 0,8840
SML-16;; 0,7206
SML-15;; 0,7027
SML-14;; 0,7350
SML-13;; 0,6814
SML-25;; 0,7951
SML-26;; 0,6673
SML-27;; 0,7185
SML-28;; 0,7097
SML-29;; 0,8361
SML-30;; 0,6768
SML-31;; 0,8058
SML-32;; 0,7878
SML-33;; 1,2180
SML-34;; 0,6905
SML-35;; 1,1033
SML-36;; 0,8115
SML-48;; 0,7016
SML-47;; 0,7409
SML-46;; 0,6721
SML-45;; 0,8799
SML-44;; 0,6748
SML-43;; 0,6773
SML-42;; 0,6952
SML-41;; 0,7163
SML-40;; 0,6679
SML-39;; 0,6844
SML-38;; 0,6925
SML-37;; 0,6843
SML-49;; 0,6790
SML-50;; 0,6701
SML-51;; 0,6851
SML-52;; 0,6810
SML-53;; 0,7095
SML-54;; 0,6667
SML-55;; 0,6701
SML-56;; 0,6675
SML-57;; 0,7018
SML-58;; 0,6674
SML-59;; 0,7400
SML-60;; 0,6718
SML-72;; 0,6788
SML-71;; 0,6615
SML-70;; 0,6590
SML-69;; 0,6747
SML-68;; 0,6559
SML-67;; 0,6648
SML-66;; 0,6648
SML-65;; 0,6653
SML-64;; 0,6760
SML-63;; 0,6765
SML-62;; 0,6649
SML-61;; 0,6714
SML-73;; 0,6715
SML-74;; 0,6695
SML-75;; 0,7293
SML-76;; 0,6775
SML-77;; 0,6637
SML-78;; 0,6815
SML-79;; 0,6832
SML-80;; 0,6663
SML-81;; 0,6685
SML-82;; 0,6679
SML-83;; 0,6739
SML-84;; 0,6740
SML-96;; 0,6655
SML-95;; 0,6690
SML-94;; 0,6667
SML-93;; 0,7657
SML-92;; 0,6698
SML-91;; 0,6706
SML-90;; 0,6690
SML-89;; 0,6704
SML-88;; 0,6968
SML-87;; 0,6734
SML-86;; 0,7122
SML-85;; 0,7047
Sample Readings end:

