# Constructed from biom file
#OTU ID	T12	S5	S11	T9	S7	S9	T15	T2	T5	S15	T4	S13	T13	T8	S14	S6	T1	T14	T3	S12	S4	S10	T6	T11	T10	T7	S8	N14	S2	S3	T16	N8	N9	S1
Unassigned;Other;Other;Other;Other	0.00153646597384	0.000981058874681	0.000110784911095	0.00791967912526	0.00281150499774	0.00151267084282	0.00227818868396	0.00617370252908	0.000155037758154	0.00036608006694	3.29530912746e-05	0.000339366515837	0.00387891758136	8.40445996676e-05	0.000407067466587	0.000271672877991	0.00206083930205	0.002139014632	0.00188837428881	0.00141959458049	0.0428177979068	0.00145942790426	0.0333414753298	0.0998582425667	0.100016715886	0.0315343197524	0.00161601716124	0.0	0.00290317898098	0.00281953698904	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0.00536604950663	0.000367897078005	0.000451052852316	0.000760033722505	0.000541015157294	0.00013347095672	0.00013523494471	0.00104489363424	0.00153099786177	0.000169965745365	0.000812842918106	0.000197963800905	0.000551742587004	0.000317501820966	0.000106612907916	0.00167879906656	0.000237560726461	0.00363845678267	0.000748838080044	0.000104381954448	0.00730766876798	0.000670547956012	0.040404657222	0.00694431983348	0.0065888449323	0.0404205706533	0.00707901322846	0.0	0.00753616877147	0.00806665739465	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae	7.72093454192e-06	0.0	0.0	0.000114963084076	0.0	3.55922551253e-05	0.0	4.41504352497e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13190827109e-05	2.44186330449e-05	0.0	3.67219536079e-05	0.0	0.0029718286924	0.000197383767877	0.00104474285396	0.00373086869886	0.0	0.0	0.000338704214448	0.000354022581583	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae	0.000115814018129	2.22967926064e-05	0.000134524534901	0.000249086682165	7.98219084531e-05	0.000115674829157	0.000124832256655	0.000883008704994	0.0	5.22971524201e-05	5.4921818791e-06	0.000147058823529	1.67194723335e-05	3.73531554078e-05	1.93841650755e-05	1.39319424611e-05	2.96950908076e-05	0.000113701774458	0.000284884052191	2.08763908895e-05	0.000905808188996	1.5777598965e-05	0.0520680670901	0.0181593066447	0.0142642224327	0.039759189384	7.15051841258e-06	0.0	0.0140804180578	0.015905728844	0.0	0.0530612244898	0.0	0.0769230769231
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae	0.0	0.0	7.91320793536e-06	3.83210280254e-05	0.0	4.44903189066e-05	2.08053761092e-05	0.000176601740999	0.0	7.84457286301e-05	5.4921818791e-06	1.69683257919e-05	4.17986808336e-05	9.33828885195e-06	0.0	1.39319424611e-05	5.93901816152e-06	3.55318045182e-05	8.13954434831e-06	2.08763908895e-05	9.79252096212e-05	0.0	0.00354176844162	0.00215327746775	0.00135120075779	0.00298469495909	7.15051841258e-06	0.0	0.00268544055741	0.00300919194346	0.0	0.0244897959184	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae	0.000131255887213	7.80387741223e-05	0.0	0.000357662928237	2.66073028177e-05	8.89806378132e-06	2.08053761092e-05	0.000478296381872	3.22995329488e-05	1.3074288105e-05	5.4921818791e-06	1.69683257919e-05	1.67194723335e-05	1.86765777039e-05	0.0	1.39319424611e-05	1.78170544846e-05	4.97445263255e-05	0.00014651179827	4.17527817791e-05	0.00132199032989	4.7332796895e-05	0.00571975248331	0.0110893789589	0.0105031481585	0.0061728918472	3.57525920629e-05	0.0	0.00327817293269	0.00443792593342	0.0	0.0244897959184	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Gordoniaceae	0.000239348970799	5.5741981516e-05	3.16528317415e-05	3.83210280254e-05	3.5476403757e-05	0.0	1.04026880546e-05	9.56592763744e-05	0.000116278318616	6.53714405251e-05	0.000115335819461	0.0	1.67194723335e-05	9.33828885195e-06	3.87683301511e-05	0.000104489568458	0.0	6.39572481328e-05	6.51163547865e-05	6.26291726686e-05	0.000306016280066	8.67767943074e-05	0.000915974596971	0.000376823556855	0.000334317713267	0.000635943528215	2.86020736503e-05	0.0	0.00255237818745	0.00271838768001	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae	0.000355162988928	0.014671289535	0.000245309445996	0.0127161944664	0.00271394488741	0.000444903189066	0.000447315586348	0.02283313343	0.000678290191924	0.000588342964726	0.000928178737567	0.00117081447964	0.00348600998152	0.00496796966924	0.00389621718019	7.66256835359e-05	0.00816614997209	0.000717742451268	0.00813140480396	0.00292269472454	0.00749127853602	0.000402328773607	0.00307360364761	1.79439788979e-05	0.000348247617986	0.00825030737271	7.15051841258e-06	0.0	0.0129191464654	0.0117206761831	0.0	0.0	0.0	0.025641025641
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae	4.63256072515e-05	0.00156077548245	0.000356094357091	0.000740873208492	0.000337025835691	8.89806378132e-05	1.04026880546e-05	0.000640181311121	0.000639530752385	0.0002614857621	0.000615124370459	0.000141402714932	0.000585181531671	0.00513605886857	0.0004361437142	0.000369196475219	5.93901816152e-06	0.000277148075242	0.00052907038264	0.000793302853803	0.015521145725	0.001128098326	0.00584188242957	5.38319366936e-05	0.00101688304452	0.00875906219528	0.000750804433321	0.0	0.00464508636957	0.00568964863259	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae	7.72093454192e-06	5.5741981516e-05	2.37396238061e-05	0.00054288123036	0.000133036514089	1.77961275626e-05	0.0	7.35840587495e-05	0.0	0.000143817169155	5.4921818791e-06	0.000101809954751	0.000150475251001	0.00134471359468	9.69208253777e-05	0.000139319424611	2.37560726461e-05	0.000270041714339	8.95349878314e-05	0.000146134736227	0.000306016280066	0.0	0.0101571405309	3.58879577958e-05	0.000292527999108	0.0135159197863	9.29567393636e-05	0.0	0.000290317898098	0.000480459217863	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae	0.0	2.22967926064e-05	0.000158264158707	0.000146897274098	2.66073028177e-05	1.77961275626e-05	0.0	0.00127300421637	0.000103358505436	1.3074288105e-05	1.64765456373e-05	3.9592760181e-05	3.34389446669e-05	9.33828885195e-05	0.0	0.00917418411062	0.0	0.000461913458737	0.00368721358978	0.0	0.00115062121305	0.000520660765845	0.000223904901482	0.0	5.57196188778e-05	0.00132276253869	7.15051841258e-05	0.0	0.0260197416171	0.00627125715947	0.0	0.0	0.0	0.025641025641
